city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
New York,USA,40.7128,-74.006,1999,1,18.11,35.98,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,2,27.79,17.71,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,3,12.05,40.99,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,4,35.25,17.18,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,5,38.39,25.07,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,6,14.89,28.95,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,7,19.66,27.85,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,8,10.0,26.14,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,9,15.04,38.56,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,10,15.32,29.5,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,11,18.06,16.63,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,1999,12,28.58,35.18,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,1,16.21,14.81,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,2,22.85,16.78,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,3,11.24,42.25,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,4,33.63,26.77,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,5,28.65,24.09,Poor,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,6,33.24,51.78,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,7,24.12,50.01,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,8,11.29,17.98,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,9,13.68,23.12,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,10,12.33,21.07,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,11,8.73,32.27,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2000,12,29.43,30.51,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,1,8.14,32.58,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,2,31.79,34.27,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,3,22.24,18.45,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,4,32.23,27.38,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,5,20.62,29.0,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,6,28.95,49.86,Good,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,7,11.21,42.64,Moderate,Reference/Equivalent Method,EPA_AQS
New York,USA,40.7128,-74.006,2001,8,19.65,41.88,Good,Reference/Equivalent Method,EPA_AQS
